,song_name,type,artist,lyrics,id
49,e par k nagama harma hay,romantic,latha mangeshkeshkar,ये मुलाकात एक बहाना है ये मुलाकात एक बहाना है प्यार का सिलसिला पुराना है ये मुलाकात एक बहाना है धड़कनें धड़कनों में खो जाएँ धड़कनें धड़कनों में खो जाएँ दिल को दिल के करीब लाना है दिल को दिल के करीब लाना है  प्यार का सिलसिला पुराना है ये मुलाकात एक बहाना है  मैं हूँ अपने सनम की बाहों में मैं हूँ अपने सनम की बाहों में  मेरे कदमों तले ज़माना है मेरे कदमों तले ज़माना है  प्यार का सिलसिला पुराना है ये मुलाकात एक बहाना है  ख़्वाब तो काँच से भी नाज़ुक हैं ख़्वाब तो काँच से भी नाज़ुक हैं टूटने से इन्हें बचाना है टूटने से इन्हें बचाना है  प्यार का सिलसिला पुराना है ये मुलाकात एक बहाना है  मन मेरा प्यार का शिवाला है मन मेरा प्यार का शिवाला है आपको देवता बनाना है आपको देवता बनाना है  प्यार का सिलसिला पुराना है ये मुलाकात एक बहाना है,90
50,ek haseena t,sad,asha bhosale kisalar,"एक हसीना थी, एक दीवाना था  क्या उम्र, क्या समां, क्या जमाना था  एक हसीना थी (हसीना थी), एक दीवाना था (दीवाना था) क्या उम्र, क्या समां, क्या जमाना था   एक दिन वोह मिले, रोज मिलने लगे  एक दिन वोह मिले, रोज मिलने लगे फी र मोहब्बत हुयी, बस क़यामत हुयी  खो गए तुम कहा, सुनके येह दास्ताँ  लोग हैरान हैं, क्यूँ की अंजन हैं  इश्क की वोह गली, बात जिसकी चली  उस गली मे मेरा आना, जाना था  एक हसीना थी, एक दीवाना था  क्या उम्र थी, क्या समां था, क्या जमाना था  एक हसीना थी, एक दीवाना था   उस हसीं ने कहा उस हसीं ने कहा सुनो जानेवफ़ा  येह फलक, येह जमीं तेरे बिन कुछ नहीं  तुझपे मरती हु मै, प्यार करती हु मै  बात कुछ और थी, वोह नजर चोर थी  उसके दिल मे छुपी छह दौलत की थी  प्यार का वोह फकत एक बहाना था  एक हसीना थी, एक दीवाना था  क्या उम्र थी, क्या समां था, क्या जमाना था  एक हसीना थी, एक दीवाना था   बेवफा यार ने अपने महबूब से ऐसा धोका किया  ऐसा धोका किया, धोका धोका  बेवफा यार ने अपने महबूब से ऐसा धोका किया  ऐसा धोका किया, धोका धोक ऐसा धोका किया, जहर उसको दिया  धोका धोका धोका धोका ........, जहर उसको दिया   मर गया वोह जवान मर गया वोह जवान, अब्ब सुनो दास्ताँ  जन्म लेके कही फी र वोह पंहुचा वही  शक्ल अंजन थी, क़त्ल हैरान थी  सामना जब हुवा सामना जब हुव, फिर वही सब हुवा  उसपे येह कर्ज था उसपे येह कर्ज थ, फर्ज को कर्ज अपना चुकाना था",92
51,a mere hamesafar,sad,alaka yaganik,"ऐ मेरे हमसफ़र, एक ज़रा इन्तज़ार सुन सदाएं, दे रही हैं, मंज़िल प्यार की ऐ मेरे हमसफ़र, एक ज़रा इन्तज़ार सुन सदाएं, दे रही हैं, मंज़िल प्यार की अब है जुदाई का मौसम दो पल का मेहमां कैसे ना जाएगा अंधेरा क्यूँ ना थमेगा तूफां अब है जुदाई का मौसम दो पल का मेहमां कैसे ना जाएगा अंधेरा क्यूँ ना थमेगा तूफां कैसे ना मिलेगी, मंजिल प्यार की ऐ मेरे हमसफ़र, एक ज़रा इन्तज़ार सुन सदाएं, दे रही हैं, मंज़िल प्यार की प्यार ने जहाँ पे रखा है झूम के कदम इक बार वहीं से खुला है कोई रस्ता वहीं से गिरी है दीवार प्यार ने जहाँ पे रखा है झूम के कदम इक बार वहीं से खुला है कोई रस्ता वहीं से गिरी है दीवार रोके कब रुकी है, मंज़िल प्यार की ऐ मेरे हमसफ़र, एक ज़रा इन्तज़ार सुन सदाएं, दे रही हैं, मंज़िल प्यार कीा",94
52,aithe a,party,vishal dadalani,हैंडपंप नल बालमा हाथे दा नल बालमा मोरे अंगना में लगवाये कुंवे से पानी ना भरवाए कुंवे से पानी ना भरवाए छत टपके आवांगी तेनु फड़के जावांगी तुझपे नजर लॉक हो गई मेरी  हद हो गयी decency की गल हो गयी एजेंसी की बोहत हुयी डिस्टेन्स तेरी मेरी  कदी ते क्लोज़र आ हिन्दीट्रैक्स मैं तेरे होठ नु टच कर ला के जाटनी पीछे नै हटनी तू एक दिन मेरा ही होना..  ओ ऐथे आ ओ ऐथे आ ओ ऐथे आ  हैंडपंप नल बालमा हाथे दा नल बालमा मोरे अंगना में लगवाये कुंवे से पानी ना भरवाए कुंवे से पानी ना भरवाए  हैंडपंप नल बालमा हाथे दा नल बालमा मोरे अंगना में लगवाये कुंवे से पानी ना भरवाए कुंवे से पानी ना भर..  ओ ऐथे आ  क्यों हर कहीं तूफान है मचेया क्यूँ आफत कभी कभी आग का दरिया तू  पहली दफा ये स्टाइल तेरा जाना था नहीं पता ये टाइम भी है आना   कहे तू क्लोज़र आ ये इस पल हो ही नहीं सकदा के जाटनी पीछे नै हटनी तू एक दिन मेरा ही होना..  ओह ऐथे आ ओह ऐथे आ ओह ऐथे आ  मार्केट से इक रोज ला दूँ घर पे तेरे हर रोज ला दूँ छड नखरे बस फ़ाइनलि हाँ करदे  और फिर क्लोज़र आ  मैं तेरे होठ नु टच कर ला के जाटनी पीछे नै हटनी तू एक दिन मेरा ही होना..  ओ ऐथे आ ओ ऐथे आ ओ ऐथे आ  हैंडपंप नल बालमा हाथे दा नल बालमा मोरे अंगना में लगवाये कुंवे से पानी ना भरवाए  ओ ऐथे आ,95
53,o mahiya,romantic,alaka yaganik,"आ… आ… जबसे मैंने तुझको देखा है रब से तेरा प्यार माँगा है दिन खिला या रात ढली हर पल तुझको सोचा है ओ माहिया, ओ माहिया ओ माहिया, ओ माहिया.. जबसे मैंने तुझको देखा है रब से तेरा प्यार माँगा है दिन खिला या रात ढली हर पल तुझको सोचा है ओ साथिया, ओ साथिया ओ साथिया, ओ साथिया साँसों में तेरी खुशबू बसी है आँखों में तेरी सूरत सजी है ओ साँसों में तेरी खुशबू बसी है आँखों में तेरी सूरत सजी है खुद से ज्यादा तुझे चाहा है खुद से ज्यादा तुझे चाहा है ओ माहिया, ओ माहिया ओ माहिया, ओ माहिया हो साथिया माहिया.. हो साथिया माहिया हो साथिया माहिया.. हो साथिया माहिया हो साथिया माहिया.. हो साथिया माहिया हो साथिया माहिया.. हो साथिया माहिया बिन तेरे एक पल चैन ना आए सारी सारी रातें याद सताए ओ बिन तेरे एक पल चैन ना आए सारी सारी रातें तेरी याद सताए पाया है अब कब से ढूंढा है पाया है अब कब से ढूंढा है हो साथिया माहिया.. हो साथिया माहिया.. हो साथिया माहिया.. हो साथिया माहिया.. हो माहिया साथिया.. हो माहिया साथिया.. हो माहिया साथिया.. हो माहिया साथिया.. जबसे मैंने तुझको देखा है रब से तेरा प्यार माँगा है दिन खिला या रात ढली हर पल तुझको सोचा है हो साथिया माहिया.. हो साथिया माहिया हो साथिया माहिया.. हो साथिया माहिया हो साथिया माहिया.. हो साथिया माहिया हो साथिया माहिया.. हो साथिया माहिया",101
54,o chaki saki,party,neha kar,ओ साकी साकी रे साकी साकी आ पास आ रह ना जाए कोई ख्वाहिश बाकी ओ साकी साकी रे साकी साकी आ पास आ रह ना जाए कोई ख्वाहिश बाकी वो शराबी क्या शराबी जो नशे में ना रहे वो शराबी क्या शराबी ऐसे जो तौबा करे वो शराबी क्या शराबी दिल में जिसके गम ना हो लुट में जिसके गम ना हो पास जिसके हम न हों ओ साकी साकी रे साकी साकी आ पास आ रह ना जाए कोई ख्वाहिश बाकी ओ साकी साकी रे साकी साकी आ पास आ रह ना जाए कोई ख्वाहिश बाकी,107
55,o chathi,sad,atif asalm,अल्लाह मुझे दर्द के काबिल बना दिया तूफ़ान को ही कश्ती का साहिल बना दिया बेचैनियाँ समेट के सारे जहांन की जब कुछ ना बन सका तो मेरा दिल बना दिया  ओ साथी.. तेरे बिना.. राही को राह दिखा ना.. ओ साथी.. तेरे बिना.. हां.. साहिल धुंआ धुंआ.. आखें मूंदे तो जाने किसे ढूँढे की सोया जाए ना की सोया जाए ना  किसे ढूंढें ये ख्वाहिशों की बूँदें की सोया जाए ना की सोया जाए ना मानो निंदिया पिरोया जाए ना मानो निंदिया पिरोया जाए ना.. अल्लाह मुझे दर्द के काबिल बना दिया तूफ़ान को ही कश्ती का साहिल बना दिया बेचैनियाँ समेट के सारे जहांन की जब कुछ ना बन सका तो मेरा दिल बना दिया  ओ साथी.. तेरे बिना.. राही को राह दिखा ना.. ओ साथी.. तेरे बिना.. हां.. साहिल धुंआ धुंआ..,108
56,odhani odh k nachun,romantic,alaka yaganik k marayan,"ला ला ला.. ओढनी ओढ़ के नाचूं, ओढनी.. ओढनी ओढ़ के नाचूं, ओढनी.. ओढनी ओढ़ के नाचूं, ओढनी.. ओढनी ओढ़ के नाचूं, ओढनी.. नाचूं ओढनी ओढ़ के आज के दिल परदेसी हो गया हमें तुमसे हो गया प्यार के दिल परदेसी हो गया हो नाचूं ओढनी ओढ़ के आज के दिल परदेसी हो गया हो हमें तुमसे हो गया प्यार के दिल परदेसी हो गया ओढनी ओढ़ के नाचूं, ओढनी.. ओढनी ओढ़ के नाचूं, ओढनी.. तेरे इश्क़ का छाया खुमार के दिल परदेसी हो गया हमें तुमसे हो गया प्यार के दिल परदेसी हो गया हर क़सम तोड़ के नाचूं, हर क़सम.. हर क़सम तोड़ के नाचूं, हर क़सम.. ओ ओ.. ओढनी ओढ़ के नाचूं, ओढनी.. बोले चूड़ी, पायलिया बोले आजा डोली लेके आजा साजना बोले चूड़ी, पायलिया बोले आजा डोली लेके आजा साजना हाथों में मेहंदी हो, माँग मेरी सिंदूरी हो तेरे नाम का किया सिंगार ये सिंगार मेरे रूप की आई बहार के दिल परदेसी हो गया हो नाचूं ओढनी ओढ़ के आज के दिल परदेसी हो गया मिलन का मौसम आयो रे प्यार ले आयो रे मिलन का मौसम आयो रे प्यार ले आयो रे मैं तो तेरे नाम लिखूंगा प्यासी एक कहानी एहसास की मैं तो तेरे नाम लिखूंगा प्यासी एक कहानी एहसास की मिलना हो तो ऐसा हो सदियों तक ना दूरी हो मैंने बरसों किया इंतज़ार ओ दिलदार बेक़ारारी में भी आया क़रार के दिल परदेसी हो गया हो हमें तुमसे हो गया प्यार के दिल परदेसी हो गया हर क़सम तोड़ के नाचू, हर क़सम हर क़सम तोड़ के नाचू, हर क़सम.. नाचूं ओढनी ओढ़ के आज के दिल परदेसी हो गया हो हमें तुमसे हो गया प्यार के दिल परदेसी हो गया ओढनी ओढ़ के नाचूं, ओढनी ओढनी ओढ़ के नाचूं, ओढनी ओढनी ओढ़ के नाचूं, ओढनी ओढनी ओढ़ के नाचूं, ओढनी",114
57,oye ooye,party,araman malick,ओये ओये ओये ओयेओये ओ ओ आ ओये ओ ओ आकादर ने किया है इशाराघडी भर का है खेल साराकादर ने किया है इशाराघडी भर का है खेल सारातमाशा ही खुद बन जायेंगे खुद तमाशाबदल जाएगा ये नज़ाराहाँ बदल जाएगा ये नज़ाराकादर ने किया है इशाराओये ओये ओये ओयेओये ओ ओ आ ओये ओ ओ आइशारों पे हमको नचा लोचलो जश्न तुम ये मन लोके जी भरके हमको सता लोनहीं कुछ कहेंगेके हंस कर सहेंगेसितम दर सितम हम तुम्हारासितम दर सितम हम तुम्हाराकादर ने किया है इशाराओये ओये ओये ओयेओये ओ ओ आ ओये ओ ओ आ गली में फिरता हैतू क्यूँ बनके बंजाराआ मेरे दिल में बस जामेरे आशिक़ आवाराआ मेरे दिल में बस जामेरे आशिक़ आवाराओ तेरा प्यार है एक सोने कापिंजरा ओह शहज़ादीमुझको अपनी जान से प्यारीहै अपनी आज़ादीओ मुझको अपनी जान से प्यारीहै अपनी आज़ादीओये ओये ओये ओयेओये ओ ओ आ ओये ओ ओ आ,115
58,kazra r,romantic,alisha chinaye,"ऐसी नज़र से देखा उस जालिम ने चौक पर हमनें कलेजा रख दिया चाकू की नौक पर बवाल हो गया.. रायता फैल गया.. मेरा चैन वैन सब उजड़ा, जालिम नज़र हटा ले मेरा चैन वैन सब उजड़ा, जालिम नज़र हटा ले बर्बाद हो रहे हैं जी तेरे अपने शहर वाले मेरा चैन वैन सब उजड़ा, जालिम नज़र हटा ले बर्बाद हो रहे हैं जी तेरे अपने शहर वाले  मेरी अंगड़ाई ना टूटे तू आजा मेरी, अंगड़ाई, ना टूटे, तू आजा..  कजरा रे कजरा रे तेरे कारे कारे नैना कजरा रे कजरा रे तेरे कारे कारे नैना हो कजरा रे कजरा रे तेरे कारे कारे नैना हो कजरा रे कजरा रे तेरे कारे कारे नैना हो मेरे नैना मेरे नैना मेरे नैना जुड़वां नैना हो कजरा रे कजरा रे तेरे कारे कारे नैना  सुरमें  लिखे तेरे वादे, आँखों की जबानी आते हैं मेरे रूमालों पे लब तेरे बांध के निशानी जाते हैं हो तेरी बातों में किमाम की खुशबू हैं हो तेरा आना भी गर्मियों की लू हैं हो तेरी बातों में किमाम की खुशबू हैं हो तेरा आना भी गर्मियों की लू हैं  आजा टूटे ना टूटे ना अंगड़ाई हो मेरी अंगड़ाई ना टूटे तू आजा  कजरा रे कजरा रे तेरे कारे कारे नैना कजरा रे कजरा रे तेरे कारे कारे नैना हो कजरा रे कजरा रे तेरे कारे कारे नैना हो कजरा रे कजरा रे तेरे कारे कारे नैना हो मेरे नैना मेरे नैना मेरे नैना जुड़वां नैना हो कजरा रे कजरा रे तेरे कारे कारे नैना  आँखें भी कमल करती हैं, पर्सनल से सवाल करती हैं पलकों को उठती भी नहीं हूँ परदे का ख्याल करती हैं हो मेरा ग़म तो किसी से भी छुपता नहीं दर्द होता है जब चुभता नहीं हो मेरा ग़म तो किसीसे भी छुपता नहीं दर्द होता है जब चुभता नहीं  आजा टूटे ना टूटे ना अंगड़ाई हो मेरी अंगड़ाई ना टूटे तू आजा मेरी, अंगड़ाई, ना टूटे, तू आजा..  कजरा रे कजरा रे तेरे कारे कारे नैना कजरा रे कजरा रे तेरे कारे कारे नैना हो कजरा रे कजरा रे तेरे कारे कारे नैना हो कजरा रे कजरा रे तेरे कारे कारे नैना हो मेरे नैना मेरे नैना मेरे नैना जुड़वां नैना हो कजरा रे कजरा रे तेरे कारे कारे नैना  हो तुझसे मिलना पुरानी दिल्ली में छोड़ आये निशानी दिल्ली में पल निमानी दरी बेतलब तेरी मेरी कहानी दिल्ली में कलि कमाली वाले हो याद करते तेरे काले काले नैनों  क़सम खाते हैं तेरे काले काले नैनों के बनाये हैं रूह तेरे काले नैनों के को दुवाए हैं रूह उदास हैं होठों पे प्यास हैं  आजा रे आजा रे आजा रे हो तेरी बातों में किमाम की खुशबू हैं हो तेरा आना भी गर्मियों की लू है हो तेरी बातों में किमाम की खुशबू हैं हो तेरा आना भी गर्मियों की लू है  हो मेरी अंगड़ाई ना टूटे तू आजा मेरी, अंगड़ाई, ना टूटे, तू आजा..  कजरा रे कजरा रे तेरे कारे कारे नैना कजरा रे कजरा रे तेरे कारे कारे नैना हो कजरा रे कजरा रे तेरे कारे कारे नैना हो कजरा रे कजरा रे तेरे कारे कारे नैना हो मेरे नैना मेरे नैना मेरे नैना जुड़वां नैना हो कजरा रे कजरा रे तेरे कारे कारे नैना",119
59,kabhi yadon men,sad,arijit singha muchal,कभी यादों में आऊं कभी ख़्वाबों में आऊं कभी यादों में आऊं कभी ख़्वाबों में आऊं  तेरी पलकों के साये में आकर झिलमिलाऊं मैं वो खुशबू नहीं जो हवा में खो जाऊ  हवा भी चल रही है मगर तू ही नहीं है फिज़ा रंगीन बनी है कहानी केह रही है मुझे जितना भुलाओ मैं उतना याद आऊं  हां.. हां.. जो तुम ना होते होता ही क्या हार जाने को हां.. हां.. जो तुम ना होते होता ही क्या हार जाने को  जो तुम ना होते होता ही क्या हार जाने को  मेरी अमानत हो तुम मेरी मोहब्बत हो तुम तुम्हे कैसे मैं भुलाऊं..  तू आसमान मेरा जहाँ लगे मुझे तू रास्तों की मंजिलें लगे मुझे तू ही मेरी चांदनी वो रातों को जो हलकी सी जले तू ही मेरी शाम-ओ-सेहर जो मेरे संग चले  हवा भी चल रही है मगर तू ही नहीं है फिज़ा रंगीन बनी है कहानी केह रही है मुझे जितना भुलाओ मैं उतना याद आऊँ  ओ.. हम्म..  कभी यादों में आऊं कभी ख़्वाबों में आऊं कभी यादों में आऊं कभी ख़्वाबों में आऊं  तेरी पलकों के साये में आकर झिलमिलाऊं,122
60,kar gayee chul,party,badshah,"अरे लड़की ब्यूटीफुल,कर गयी चुल चुल चुल चुलयेह.. देख तेरा रंग सांवला हुआ बावला लड़की नहीं है तू है गरम मामला बोलती बंद मेरी, कहूं क्या भला कुछ भी कहा नहीं जाए  क्या नाचे तू दिल्ली, हिले है लन्दन मटक मटक जैसे रवीना टंडन आग लगाने आई है बन ठन गोली चल गयी धायं  नखरे विलायती ईगो मैं रहती नखरे विलायती ईगो में रहती टशन दिखाती फुल अरे लड़की ब्यूटीफुल,कर गयी चुल चुल चुल चुल अरे दायें बायें कैसे कमर तू झुलाये फिजिक्स समझ नहीं आये  सेंडल मेरे छम छम करदे हेगे हाई ब्रांड वे सेंडल मेरे छम छम करदे हेगे हाई ब्रांड वे इवेलिन मुंडेयां दे मेरे हील पे होंदे लैंड वे  सारी कुडियां हाय देसी चिड़ियाँ सारी कुडियां देसी चिड़ियाँ क्लब के मैं बुलबुल  मैं लड़की ब्यूटीफुल कर गयी चुल चुल चुल चुल अरे लड़की ब्यूटीफुल कर गयी चुल  देख तेरा रंग सांवला हुआ बावला लड़की नहीं है तू है गरम मामला बोलती बंद मेरी, कहूं क्या भला कुछ भी कहा नहीं जाए  क्या नाचे तू दिल्ली, हिले है लन्दन मटक मटक जैसे रवीना टंडन आग लगाने आई है बन ठन अरे लड़की ब्यूटीफुल कर गयी चुल  कोई बचा लो मुझे मुझे संभालो अरे इसे उठा लो अरे लड़की ब्यूटीफुल कर गयी चुल अरे लड़की ब्यूटीफुल कर गयी चुल..",124
61,kitani baten,sad,sadhana sargam,कितनी बातें याद आती हैं तस्वीरें सी बन जाती हैं मैं कैसे इन्हें भूलूँ दिल को क्या समझाऊँ कितनी बातें कहने की हैं होठों पर जो सहमी सी हैं इक रोज़ इन्हें सुन लो क्यों ऐसे गुमसूम हो  क्यों पूरी हो ना पाई दास्तान  कैसे आई है ऐसी दूरियाँ  दोनों के दिलों में छुपा है जो एक अंजाना सा ग़म क्या होपाएगा वो कम कोई क्या कहे  दोनों ने कभी ज़िंदगी की एक मोड़ पे थी जो पायी है कैसी वो तनहायी कोई क्या कहे  कितना वीरान है ये समा  साँसों में जैसे घुलता है धूंआ कैसे आई है ऐसी दूरियाँ  कितनी बातें याद आती है तस्वीरें सी बन जाती हैं मैं कैसे इन्हें भूलूँ   तुमसे आज यूँ मिलके दिल को याद आये लम्हें कल के ये आँसू क्यों हैं छलके अब क्या कहें  तुमने हमको देखा जो ऐसे तो इक उम्मीद है जागी फिर तुमसे प्यार पाने की अब क्या कहें  आ गये हम कहाँ से कहाँ  देखे मुडके ये दिल का कारवाँ कैसे आई है ऐसी दूरियाँ  कितनी बातें कहने की हैं होठों पर जो सहमी सी हैं इक रोज़ इन्हें सुन लो क्यों ऐसे गुमसूम हो  कितनी बातें याद आती है तस्वीरें सी बन जाती हैं मैं कैसे इन्हें भूलूँ दिल को क्या समझाऊँ   दोनो के दिलों में सवाल है फिर भी है खामोशी तो कौन है किसका दोषी कोई क्या कहे  कैसी उलझनों के यह जाल है जिन में उलझे है दिल अब होना है क्या हासिल कोई क्या कहे  दिल की हैं कैसी मजबूरियाँ खोये थे कैसे राहों के निशान कैसे आई हैं ऐसी दूरियाँ  दोनो के दिलों में छुपा है जो इक अंजाना सा ग़म क्या हो पायेगा वो कम कोई क्या कहे  दोनो ने कभी ज़िंदगी के इक मोड़ पे थी जो पाई है कैसी वो तनहाई कोई क्या कहे   कितना वीरान है ये समा साँसों में जैसे घुलता है धुवाँ कैसे आई है ऐसी दूरियाँ  कितनी बातें याद आती है तस्वीरें सी बन जाती हैं मैं कैसे इन्हें भूलूँ,143
62,kitabe bahut s padhi padhi hon,romantic,asha bhosale,"किताबे बहुत सी पढ़ी होंगी तुमने  मगर कोई चेहरा भी तुमने पढ़ा है  पढ़ा है मेरी जन, नजर से पढ़ा है  बता मेरे चेहरे पे क्या क्या लिखा है   उमंगें लिखी हैं, जवानी लिखी हैं  तेरे दिल की सारी कहानी लिखी हैं  उमंगें लिखी हैं, जवानी लिखी हैं  तेरे दिल की सारी कहानी लिखी हैं कही हल-इ-दिल भी बताता है चेहरा  ना बोलो तोह फिर भी बताता है चेहरा  यह चेहरा हकीकत में एक आईना है  बता मेरे चेहरे पे क्या क्या लिखा है   अगर हम कहें हमको उल्फत नाही है  कहोगी फिर कैसे मोहब्बत नाही है  अगर हम कहें हमको उल्फत नाही है  कहोगी फिर कैसे मोहब्बत नाही है  बड़े आये चेहरे पे यह मरनेवाले  दिखावे का एहदे वफ़ा करनेवाले  दिखावा नाही प्यार की इम्तहान है  बता मेरे चेहरे पे क्या क्या लिखा है",144
63,kinna sohna,romantic,jubin nouttyala,आँखें कहती है बैठे तू मेरे रूबरू तुझको देखूं इबादत करता रहूँ ओ आँखें कहती है बैठे तू मेरे रूबरू तुझको देखूं इबादत करता रहूँ तेरे सजदों में धड़के दिल ये मेरा मेरी साँसों में चलता है बस एक तू इश्क दा रंग तेरे मुखड़े ते छाया जदों दा मैं तक्केया ऐ चैन नि आया किन्ना सोणा किन्ना सोणा तैनू रब ने बनाया किन्ना सोणा तैनू रब ने बनाया जी करे देखदा रवां किन्ना सोणा तैनू रब ने बनाया जदों दा तेरे ते दिल आया हो जदों दा तेरे ते दिल आया जी करे वेखदा रवां किन्ना सोणा तैनू रब ने बनाया मेरे होंठों की खामोशियों में जो बातें हैं वो आँखों से बता तू मेरे होंठों की खामोशियों में जो बातें हैं वो आँखों से बता तू मेरे दिल की है यही ख्वाहिशें तेरी धड़कन में हर लम्हा मैं बिता दूँ तेरे चेहरे से आगे जा नहीं पाया जदों दा मैं तक्केया ऐ चैन नि आया किन्ना सोणा किन्ना सोणा तैनू रब ने बनाया किन्ना सोणा तैनू रब ने बनाया जी करे वेखदा रवां किन्ना सोणा तैनू रब ने बनाया सोणी तेरी अँखियाँ ते सोणे तेरे ख्वाब वे तेरीया दा तारीफां ते लिखदा किताब वे लव जा ते प्यार वाला रंग चढ़वाया लव जा ते प्यार वाला रंग चढ़वाया किन्ना सोणा किन्ना सोणा तैनू रब ने बनाया किन्ना सोणा तैनू रब ने बनाया जी करे वेखदा रवां किन्ना सोणा तैनू रब ने बनाया जदों दा तेरे ते दिल आया हो जदों दा तेरे ते दिल आया जी करे वेखदा रवां किन्ना सोणा तैनू रब ने बनाया,145
64,kuch tho huara hay,romantic,alaka yaganik,कुछ तो हुआ है कुछ हो गया है कुछ तो हुआ है कुछ हो गया है दो चार दिन से लगता है जैसे सब कुछ अलग है सब कुछ नया है कुछ तो हुआ है कुछ हो गया है.. चीज़ें मैं रख के भूल जाती हूँ बे-ख्याली में गुनगुनाती हूँ अब अकेले में मुस्कुराती हूँ  बदली हुई सी मेरी अदा है कुछ तो हुआ है कुछ हो गया है.. पिघला पिघला है दिल मेरा जब से अच्छा रहता है मूड भी तब से हंस के मिलता हू आज कल सब से खुश हो गया है जो भी मिला है कुछ तो हुआ है कुछ हो गया है.. रंग चमकीले सारे लगते हैं राह मे बिखरे तारे लगते हैं फूल अब ज्यादा प्यारे लगते हैं महकी हुई सी जैसी हवा है कुछ तो हुआ है कुछ हो गया है.. ध्यान अब अपना ज्यादा रखता हूँ सोचता हूँ मैं कैसे लगता हूँ आईना हो तो देख लेता हूँ कैसे ये चेहरा ऐसा खिला है कुछ तो हुआ है कुछ हो गया है.. हम्म.. कुछ हो गया है.. हम्म.. क्या हो गया है.. ये नशा जिसमें दोनों रहते हैं ये लहर जिसमें दोनों बहते हैं हो न हो इसको प्यार कहते हैं प्यार मिला तो दिल खो गया है कुछ तो हुआ है कुछ हो गया है हम्म.. कुछ हो गया है.. हम्म.. क्या हो गया है..,147
65,kudi nachanachanachanachanachanachanachane dey,party,vishal dadalani,"हो मीठी-मीठी सी ये मुनिया सर पे डाले है ये चुनिया क्यूँ.. हाँ क्यूँ.. हो सोहणी-सोहणी सी कुड़ी नु मौज में रहने दे ना दुनियाँ क्यूँ.. हाँ दुनियाँ क्यूँ..  है किन्नी शानदार कुड़ी ये कर देगी कमाल.. इसे झूमने दे अपनी बीट ते..  कुड़ी नु नचने दे हाँ नचने दे तू आज लगाने दे ठुमके हाँ जमके..  कुड़ी नु नचने दे हाँ नचने दे.. तू सारियाँ फ़िकरां नु छड के बन-ठन के..  कुड़ी नु नचने दे.. नचने दे हाँ नचने दे.. नचने दे तू आज लगाने दे ठुमके हाँ जमके..  कुड़ी नु नचने दे हाँ नचने दे.. तू सारियाँ फ़िकरां नु छड के बन-ठन के.. कुड़ी नु नचने दे..  होओओ ओओओ होओओ ओओओ होओओ ओओओ  वड्डी-वड्डी बात तेरी छोटी-छोटी सोच क्यूँ ए जी ओहो पाजी..  हो उखड़े-उखड़े क्यूँ खड़े जी हंस दो तो, हंस देगी दुनियाँ भी हाँ हाँ हाँ जी.. हो आये जो on the floor कुड़ी तो खूब मचाये शोर तू भी झूम लेना इसकी बीट पे..  कुड़ी नु नचने दे.. नचने दे हाँ नचने दे.. नचने दे तू आज लगाने दे ठुमके हाँ जमके..  कुड़ी नु नचने दे हाँ नचने दे.. तू सारियाँ फ़िकरां नु छड के बन-ठन के..  कुड़ी नु नचने दे.. नचने दे हाँ नचने दे.. नचने दे तू आज लगाने दे ठुमके हाँ जमके..  कुड़ी नु नचने दे.. नचने दे नाचने दे.. नचने दे तू सारिया फ़िकरां नु छड के बन-ठन के कुड़ी नु नचने दे..  होओओ ओओओ होओओ ओओओ होओओ ओओओ  कुड़ी नु नचने दे..",150
